,molecule_chembl_id,IC50,smiles,pIC50
0,CHEMBL323090,0.01,COc1ccc(S(=O)(=O)N(CC(=O)NCC2CCCCC2)C(CCSCc2ccccc2)C(=O)NO)cc1,11.0
1,CHEMBL2064547,0.03,COc1ccc(S(=O)(=O)N(Cc2cn(CCF)nn2)[C@@H](C(=O)NO)C(C)C)cc1,10.522878745280337
2,CHEMBL2064549,0.05,COc1ccc(S(=O)(=O)N(Cc2cn(CCOCCOCCOCCF)nn2)[C@@H](C(=O)NO)C(C)C)cc1,10.301029995663981
3,CHEMBL2064548,0.06,COc1ccc(S(=O)(=O)N(Cc2cn(CCOCCOCCOCCOS(=O)(=O)c3ccc(C)cc3)nn2)[C@@H](C(=O)NO)C(C)C)cc1,10.221848749616356
4,CHEMBL2425941,0.07,CC(C)[C@H](C(=O)NO)N(CC#N)S(=O)(=O)c1ccc(OCCF)cc1,10.154901959985743
5,CHEMBL2425947,0.07,COc1ccc(S(=O)(=O)N(CCn2cc(CCCF)nn2)[C@@H](C(=O)NO)C(C)C)cc1,10.154901959985743
6,CHEMBL75164,0.092,O=CN(O)C(CS(=O)(=O)c1ccc(Oc2ccc(OC(F)(F)F)cc2)cc1)[C@H](O)CO,10.036212172654444
7,CHEMBL5270698,0.092,O=CN(O)C(CS(=O)(=O)c1ccc(Oc2ccc(OC(F)(F)F)cc2)cc1)[C@@H](O)CO,10.036212172654444
8,CHEMBL1801394,0.1,CCOCCN1CCC(C(=O)NO)(S(=O)(=O)c2ccc(Oc3ccc(OC(F)(F)F)cc3)cc2)CC1,10.0
9,CHEMBL1801396,0.1,CC(=O)N1CCC(C(=O)NO)(S(=O)(=O)c2ccc(Oc3ccc(OC(F)(F)F)cc3)cc2)CC1,10.0
10,CHEMBL1800089,0.1,O=C(NO)C1(S(=O)(=O)c2ccc(Oc3ccc(C(F)(F)F)cc3)cc2)CCN(CCN2CCOCC2)CC1,10.0
11,CHEMBL4535400,0.122,O=C(Nc1ccc(S(=O)(=O)C2CCC[C@@H]2C(=O)NO)cc1)c1ccc([N+](=O)[O-])cc1,9.913640169325252
12,CHEMBL16519,0.14,CCCCCCC[C@H](C[C@H](O)CS)C(=O)N[C@H](C(=O)NC)C(C)(C)C,9.853871964321762
13,CHEMBL16554,0.14,CCCCCCC[C@H](CC(=O)CS)C(=O)N[C@H](C(=O)NC)C(C)(C)C,9.853871964321762
14,CHEMBL1801430,0.15,O=C(NO)C1(S(=O)(=O)c2ccc(Oc3ccc(OC(F)(F)F)cc3)cc2)CCN(C2CC2)CC1,9.823908740944319
15,CHEMBL1801398,0.18,CN1CCC(C(=O)NO)(S(=O)(=O)c2ccc(Oc3ccc(OC(F)(F)F)cc3)cc2)CC1,9.744727494896694
16,CHEMBL433426,0.2,CCCCCCCCC[C@H](CC(=O)NO)C(=O)N[C@H](C(=O)NC)c1ccccc1,9.698970004336019
17,CHEMBL296761,0.2,COc1ccc(S(=O)(=O)N(CC(C)C)[C@@H](CCSCc2ccc(-c3ccccc3)cc2)C(=O)NO)cc1,9.698970004336019
18,CHEMBL1916212,0.2,CN1CCN(CCN([C@@H]2CC=CCN(O)C2=O)S(=O)(=O)c2ccc(Oc3ccc(Cl)cc3)cc2)CC1,9.698970004336019
19,CHEMBL106016,0.2,COc1ccc(S(=O)(=O)N(CC(=O)NCc2cccnc2)C(CCSCc2ccccc2)C(=O)NO)cc1,9.698970004336019
20,CHEMBL47728,0.2,CSCC[C@@H](C(=O)NO)N(CC(C)C)S(=O)(=O)c1ccc(-c2ccccc2)cc1,9.698970004336019
21,CHEMBL75094,0.2,CC1(C)SCCN(S(=O)(=O)c2ccc(Oc3ccncc3)cc2)[C@H]1C(=O)NO,9.698970004336019
22,CHEMBL5285908,0.2,CCCCCCCCCC[C@@H](CC(=O)NO)C(=O)N[C@H](C(=O)NC)c1ccccc1,9.698970004336019
23,CHEMBL19611,0.2,CNC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](CC(=O)NO)CC(C)C,9.698970004336019
24,CHEMBL102504,0.2,COc1ccc(S(=O)(=O)N(CC(C)C)C(CCSCc2ccc(C3C=CCCC3)cc2)C(=O)NO)cc1,9.698970004336019
25,CHEMBL102785,0.2,COc1ccc(S(=O)(=O)N(CC(=O)NC2CCCCC2)C(CCSCc2ccccc2)C(=O)NO)cc1,9.698970004336019
26,CHEMBL5283673,0.2,CCCN(C(CSC)C(=O)NO)S(=O)(=O)c1ccc(OC)cc1,9.698970004336019
27,CHEMBL2425944,0.2,CC(C)[C@H](C(=O)NO)N(Cc1cn(CCOCCOCCOCCOc2cccnc2F)nn1)S(=O)(=O)c1ccc(OCCF)cc1,9.698970004336019
