,molecule_chembl_id,IC50,smiles,pIC50,ROMol
1,CHEMBL2064547,0.03,COc1ccc(S(=O)(=O)N(Cc2cn(CCF)nn2)[C@@H](C(=O)NO)C(C)C)cc1,10.522878745280336,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a32ea0>
4,CHEMBL2425941,0.07,CC(C)[C@H](C(=O)NO)N(CC#N)S(=O)(=O)c1ccc(OCCF)cc1,10.154901959985745,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a32e30>
5,CHEMBL2425947,0.07,COc1ccc(S(=O)(=O)N(CCn2cc(CCCF)nn2)[C@@H](C(=O)NO)C(C)C)cc1,10.154901959985745,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a32dc0>
6,CHEMBL75164,0.092,O=CN(O)C(CS(=O)(=O)c1ccc(Oc2ccc(OC(F)(F)F)cc2)cc1)[C@H](O)CO,10.036212172654444,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a32d50>
7,CHEMBL5270698,0.092,O=CN(O)C(CS(=O)(=O)c1ccc(Oc2ccc(OC(F)(F)F)cc2)cc1)[C@@H](O)CO,10.036212172654444,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a32ff0>
8,CHEMBL1801394,0.1,CCOCCN1CCC(C(=O)NO)(S(=O)(=O)c2ccc(Oc3ccc(OC(F)(F)F)cc3)cc2)CC1,10.0,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a33060>
9,CHEMBL1801396,0.1,CC(=O)N1CCC(C(=O)NO)(S(=O)(=O)c2ccc(Oc3ccc(OC(F)(F)F)cc3)cc2)CC1,10.0,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a32f10>
10,CHEMBL1800089,0.1,O=C(NO)C1(S(=O)(=O)c2ccc(Oc3ccc(C(F)(F)F)cc3)cc2)CCN(CCN2CCOCC2)CC1,10.0,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a33140>
11,CHEMBL4535400,0.122,O=C(Nc1ccc(S(=O)(=O)C2CCC[C@@H]2C(=O)NO)cc1)c1ccc([N+](=O)[O-])cc1,9.913640169325252,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a33220>
12,CHEMBL16519,0.14,CCCCCCC[C@H](C[C@H](O)CS)C(=O)N[C@H](C(=O)NC)C(C)(C)C,9.853871964321762,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a33290>
13,CHEMBL16554,0.14,CCCCCCC[C@H](CC(=O)CS)C(=O)N[C@H](C(=O)NC)C(C)(C)C,9.853871964321762,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a33300>
14,CHEMBL1801430,0.15,O=C(NO)C1(S(=O)(=O)c2ccc(Oc3ccc(OC(F)(F)F)cc3)cc2)CCN(C2CC2)CC1,9.82390874094432,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a33370>
15,CHEMBL1801398,0.18,CN1CCC(C(=O)NO)(S(=O)(=O)c2ccc(Oc3ccc(OC(F)(F)F)cc3)cc2)CC1,9.744727494896694,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a333e0>
18,CHEMBL1916212,0.2,CN1CCN(CCN([C@@H]2CC=CCN(O)C2=O)S(=O)(=O)c2ccc(Oc3ccc(Cl)cc3)cc2)CC1,9.69897000433602,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a33450>
20,CHEMBL47728,0.2,CSCC[C@@H](C(=O)NO)N(CC(C)C)S(=O)(=O)c1ccc(-c2ccccc2)cc1,9.69897000433602,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a334c0>
21,CHEMBL75094,0.2,CC1(C)SCCN(S(=O)(=O)c2ccc(Oc3ccncc3)cc2)[C@H]1C(=O)NO,9.69897000433602,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a33530>
23,CHEMBL19611,0.2,CNC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](CC(=O)NO)CC(C)C,9.69897000433602,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a335a0>
26,CHEMBL5283673,0.2,CCCN(C(CSC)C(=O)NO)S(=O)(=O)c1ccc(OC)cc1,9.69897000433602,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a33610>
30,CHEMBL1801431,0.2,O=C(NO)C1(S(=O)(=O)c2ccc(Oc3ccc(OC(F)(F)F)cc3)cc2)CCN(Cc2ccccn2)CC1,9.69897000433602,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a33680>
31,CHEMBL1771212,0.2,COCCN1CCC(C(=O)NO)(S(=O)(=O)c2ccc(Oc3ccc(OC(F)(F)F)cc3)cc2)CC1,9.69897000433602,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a336f0>
33,CHEMBL1801052,0.2,O=C(NO)C1(S(=O)(=O)c2ccc(Oc3ccc(OC(F)(F)F)cc3)cc2)CCOCC1,9.69897000433602,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a33760>
34,CHEMBL279786,0.2,CNC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(C)C)[C@H](CSc1cccs1)C(=O)NO,9.69897000433602,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a337d0>
36,CHEMBL1801412,0.2,CCOc1ccc(Oc2ccc(S(=O)(=O)C3(C(=O)NO)CCN(C4CC4)CC3)cc2)cc1,9.69897000433602,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a33840>
38,CHEMBL1801417,0.21,CC(C)Oc1ccc(Oc2ccc(S(=O)(=O)C3(C(=O)NO)CCN(C4CC4)CC3)cc2)cc1,9.67778070526608,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a338b0>
39,CHEMBL1916211,0.21,O=C1[C@H](N(CCN2CCCCC2)S(=O)(=O)c2ccc(Oc3ccc(Cl)cc3)cc2)CC=CCN1O,9.67778070526608,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a33920>
40,CHEMBL1801429,0.22,O=C(NO)C1(S(=O)(=O)c2ccc(Oc3ccc(OC(F)(F)F)cc3)cc2)CCNCC1,9.657577319177792,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a33990>
41,CHEMBL1916210,0.22,O=C1[C@H](N(CCN2CCOCC2)S(=O)(=O)c2ccc(Oc3ccc(Cl)cc3)cc2)CC=CCN1O,9.657577319177792,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a33a00>
42,CHEMBL1801428,0.25,COCCN1CCC(C(=O)NO)(S(=O)(=O)c2ccc(Oc3ccc(SC(F)(F)F)cc3)cc2)CC1,9.602059991327964,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a33a70>
43,CHEMBL1801054,0.25,O=C(NO)C1(S(=O)(=O)c2ccc(Oc3ccc(SC(F)(F)F)cc3)cc2)CCOCC1,9.602059991327964,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a33ae0>
44,CHEMBL473539,0.26,CC1(C)SCCN(S(=O)(=O)c2ccc(Oc3ccccc3)cc2)[C@H]1C(=O)NO,9.585026652029182,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a33b50>
45,CHEMBL307413,0.26,O=CN(O)C(CO)CS(=O)(=O)c1ccc(Oc2ccc(OC(F)(F)F)cc2)cc1,9.585026652029182,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a33bc0>
46,CHEMBL1801421,0.27,COCCN1CCC(C(=O)NO)(S(=O)(=O)c2ccc(Oc3ccc4c(c3)OCO4)cc2)CC1,9.568636235841012,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a33c30>
47,CHEMBL5280430,0.29,CCc1ccc(-c2cc(-c3ccc(S(=O)(=O)N[C@H](C(=O)O)C(C)C)cc3)no2)s1,9.537602002101044,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a33ca0>
48,CHEMBL279078,0.3,CNC(=O)[C@H](Cc1cccc2c1CCCC2)NC(=O)[C@H](CC(C)C)[C@H](C)C(=O)NO,9.522878745280336,<rdkit.Chem.rdchem.Mol object at 0x7d5b99a33d10>
