,molecule_chembl_id,IC50,smiles,pIC50,molecular_weight,heavy_atoms,rotatable_bonds,n_hba,n_hbd,logp,reos_fulfilled
1,CHEMBL2064547,0.03,COc1ccc(S(=O)(=O)N(Cc2cn(CCF)nn2)[C@@H](C(=O)NO)C(C)C)cc1,10.522878745280336,429.148218088,29,10,8,2,0.9771,True
4,CHEMBL2425941,0.07,CC(C)[C@H](C(=O)NO)N(CC#N)S(=O)(=O)c1ccc(OCCF)cc1,10.154901959985745,373.11076995999997,25,9,6,2,1.07918,True
5,CHEMBL2425947,0.07,COc1ccc(S(=O)(=O)N(CCn2cc(CCCF)nn2)[C@@H](C(=O)NO)C(C)C)cc1,10.154901959985745,457.179518216,31,12,8,2,1.4096999999999997,True
6,CHEMBL75164,0.092,O=CN(O)C(CS(=O)(=O)c1ccc(Oc2ccc(OC(F)(F)F)cc2)cc1)[C@H](O)CO,10.036212172654444,465.07052219599996,31,10,8,3,1.7205999999999997,True
7,CHEMBL5270698,0.092,O=CN(O)C(CS(=O)(=O)c1ccc(Oc2ccc(OC(F)(F)F)cc2)cc1)[C@@H](O)CO,10.036212172654444,465.07052219599996,31,10,8,3,1.7205999999999997,True
8,CHEMBL1801394,0.1,CCOCCN1CCC(C(=O)NO)(S(=O)(=O)c2ccc(Oc3ccc(OC(F)(F)F)cc3)cc2)CC1,10.0,532.1491068639999,36,10,8,2,3.527700000000002,True
9,CHEMBL1801396,0.1,CC(=O)N1CCC(C(=O)NO)(S(=O)(=O)c2ccc(Oc3ccc(OC(F)(F)F)cc3)cc2)CC1,10.0,502.102156672,34,6,7,2,3.037700000000001,True
10,CHEMBL1800089,0.1,O=C(NO)C1(S(=O)(=O)c2ccc(Oc3ccc(C(F)(F)F)cc3)cc2)CCN(CCN2CCOCC2)CC1,10.0,557.18074134,38,8,8,2,2.9436000000000018,True
11,CHEMBL4535400,0.122,O=C(Nc1ccc(S(=O)(=O)C2CCC[C@@H]2C(=O)NO)cc1)c1ccc([N+](=O)[O-])cc1,9.913640169325252,433.094370948,30,6,7,3,2.2949,True
12,CHEMBL16519,0.14,CCCCCCC[C@H](C[C@H](O)CS)C(=O)N[C@H](C(=O)NC)C(C)(C)C,9.853871964321762,374.260314076,25,12,4,4,2.9208000000000007,True
13,CHEMBL16554,0.14,CCCCCCC[C@H](CC(=O)CS)C(=O)N[C@H](C(=O)NC)C(C)(C)C,9.853871964321762,372.244664012,25,12,4,3,3.1290000000000013,True
